,Query,Target,Stance,data_type
0,[CLS] he who exalts himself shall      be humbled; and he who humbles himself shall be exalted.matt 23:12.     #semst [SEP] atheism [SEP],atheism,0,testA
1,"[CLS] rt @prayerbullets: i remove nehushtan -previous moves of god that have become idols, from the high places -2 kings 18:4 #semst [SEP] atheism [SEP]",atheism,0,testA
2,[CLS] @brainman365 @heidtjj @benjaminlives i have sought the truth of my soul and found it strong enough to stand on its own merits. #semst [SEP] atheism [SEP],atheism,0,testA
3,[CLS] #god is utterly powerless without human intervention... #semst [SEP] atheism [SEP],atheism,0,testA
4,[CLS] @david_cameron   miracles of #multiculturalism   miracles of shady 786  #taqiya #tawriya #jaziya #kafirs #dhimmi #jihad #allah #semst [SEP] atheism [SEP],atheism,0,testA
5,[CLS] this world needs a tight group hug. tight enough to relieve them from all this anger and hate. #makepeacewitheachother #semst [SEP] atheism [SEP],atheism,0,testA
6,"[CLS] morality is not derived from religion, it precedes it. -christopher 'the hitch' hitchens #freethinkers #semst [SEP] atheism [SEP]",atheism,0,testA
7,[CLS] a godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #god #semst [SEP] atheism [SEP],atheism,0,testA
8,[CLS] @seculardutchess i'll be your huckleberry @deanmodified #semst [SEP] atheism [SEP],atheism,0,testA
9,[CLS] #bible = big irrelevant book of lies and exaggerations ~ #judaism #god #teamjesus #islam ~ #truth & #freedom = #semst [SEP] atheism [SEP],atheism,0,testA
10,"[CLS] if only dreams were real, now it's gone. #singlebecause #getonyourfeet #semst [SEP] atheism [SEP]",atheism,0,testA
11,[CLS] happy independence day to america and her beautiful constitution #independenceday #usa #semst [SEP] atheism [SEP],atheism,0,testA
12,[CLS] let my house be built by wisdom and become strong through good sense -prov. 24:3 #semst [SEP] atheism [SEP],atheism,0,testA
13,"[CLS] these days, the cool kids are atheists.  #freethinker #semst [SEP] atheism [SEP]",atheism,0,testA
14,"[CLS] next time you hear someone say that our founding fathers intended a ""christian nation,"" show 'em those quotes. #semst [SEP] atheism [SEP]",atheism,0,testA
15,[CLS] #iloveislambecause and v should love islam because its a deen instead of just a #semst [SEP] atheism [SEP],atheism,0,testA
16,"[CLS] be a sinner and sin strongly, but more strongly have faith and rejoice in christ. ~ martin luther #semst [SEP] atheism [SEP]",atheism,0,testA
17,[CLS] #god > my fears god > my insecurities god > my worry god > my everything #semst [SEP] atheism [SEP],atheism,0,testA
18,"[CLS] mary, queen of martyrs, pray for us. #catholic #semst [SEP] atheism [SEP]",atheism,0,testA
19,"[CLS] america, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #semst [SEP] atheism [SEP]",atheism,0,testA
20,"[CLS] every life is a profession of faith, and exercises an inevitable and silent influence. ~henri frederic amiel #semst [SEP] atheism [SEP]",atheism,0,testA
21,[CLS] i am baloch and i will not allow talibanization in balochistan ... #taliban #extremism #semst [SEP] atheism [SEP],atheism,0,testA
22,[CLS] he became a slave to the cross that men could go free! #semst [SEP] atheism [SEP],atheism,0,testA
23,[CLS] exo.20.13-15 - ...do not commit murder...do not commit adultery...do not steal. #semst [SEP] atheism [SEP],atheism,0,testA
