,Query,Target,Stance,data_type
0,"[CLS] @2014voteblue @chrisjzullo blindly supporting political parties is willfull ignorance, repub or dem. #semst [SEP] ",donald trump,2,testB
1,"[CLS] @thepimpernelx @cameron_gray @calebhowe  totally agree ...time to get out of the twitter peanut gallery and take ""arms #semst [SEP] ",donald trump,2,testB
2,[CLS] @jeffyoung @thepatriot143 i fully support full repeal. i will work for candidates who i believe will make it happen! #semst [SEP] ,donald trump,2,testB
3,"[CLS] @abc stupid is as stupid does! showedhis true colors; seems that he ignores that us was invaded, & plundered,not discovered #semst [SEP] ",donald trump,0,testB
4,[CLS] @housegop we now have one political party. the socialist party. no more bs. we don't believe you anymore. #semst [SEP] ,donald trump,2,testB
5,[CLS] donald trump isn't afraid to roast everyone. #semst [SEP] ,donald trump,1,testB
6,[CLS] donald trump for president? i can dig it.  #semst [SEP] ,donald trump,1,testB
7,[CLS] nothing about obamacare changed today what changed is the total exposure of anti-constitutional terrorism at the supremecourt #semst [SEP] ,donald trump,2,testB
8,"[CLS] i have one friend, he said he has more accountants than he has nurses. #semst [SEP] ",donald trump,2,testB
9,[CLS] after today scotus has passed more legislation than congress. #tcot #semst [SEP] ,donald trump,2,testB
10,[CLS] @usalivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% support #trump.. #semst [SEP] ,donald trump,1,testB
11,[CLS] @whiphoyer @corlessjones haha aca is far from affordable you bunch of gruber idiots! #semst [SEP] ,donald trump,2,testB
12,"[CLS] considering the fact that bush was a president of this country, i don't see it a joke that trump is running ! #election2016 #semst [SEP] ",donald trump,1,testB
13,"[CLS] honestly i am gonna watch #univision so much more now, just to support the network against #semst [SEP] ",donald trump,2,testB
14,"[CLS] @carminezozzora or a supreme court who now re-writes laws from the bench. they have done calisthenics to save o-care, twice! #semst [SEP] ",donald trump,2,testB
15,[CLS] bretbaier shannonbream remind obama that the 2nd amendment is here to stay as well! #tcot #molonlabe #2a #semst [SEP] ,donald trump,2,testB
